key,zh
UI_RESET_HAND,重置手牌
UI_RESET_HAND_WAIT,等待刷新
UI_HAND_RESET_REFRESH_EVENT,手牌重置刷新
UI_GAIN_ENERGY_EVENT,能量恢复
UI_VICTORY,胜利
UI_DEFEAT,失败
UI_CHOOSE_REWARD,选择一张卡牌奖励
UI_DEFEAT_HINT,本次远征已经结束
UI_RESTART_RUN,重新开始
UI_COMPLETED_BATTLES,已完成战斗
UI_DECK_SIZE,牌组数量
UNIT_ARTHUR_NAME,亚瑟
UNIT_BERIN_NAME,贝琳
UNIT_CHLOE_NAME,克洛伊
UNIT_LIA_NAME,莉雅
UNIT_RIFT_BUG_NAME,裂隙虫
UNIT_VINE_BEAST_NAME,藤蔓兽
UNIT_TIDE_CRAB_NAME,潮汐蟹
UNIT_RUIN_SKELETON_NAME,遗迹骷髅
JOB_WARRIOR_NAME,战士
JOB_TANK_NAME,重装
JOB_ARCHER_NAME,射手
JOB_SUPPORT_NAME,辅助
ENEMY_TYPE_NORMAL_NAME,普通敌人
ENEMY_TYPE_DEFENDER_NAME,防御敌人
CARD_STRIKE_NAME,打击
CARD_STRIKE_DESC,对单体敌人造成100%力量伤害
CARD_DEFEND_NAME,防御
CARD_DEFEND_DESC,使一个我方角色获得100%意志护盾
CARD_QUICK_STRIKE_NAME,快速打击
CARD_QUICK_STRIKE_DESC,对单体敌人造成100%力量伤害
CARD_HEAVY_STRIKE_NAME,强化打击
CARD_HEAVY_STRIKE_DESC,对单体敌人造成150%力量伤害
CARD_WHIRLWIND_SLASH_NAME,旋风斩
CARD_WHIRLWIND_SLASH_DESC,对所有敌人造成80%力量伤害
CARD_QUICK_DEFENSE_NAME,快速防御
CARD_QUICK_DEFENSE_DESC,使一个我方角色获得100%意志护盾
CARD_HEAVY_DEFENSE_NAME,强化防御
CARD_HEAVY_DEFENSE_DESC,使一个我方角色获得140%意志护盾
CARD_GROUP_DEFENSE_NAME,群体防御
CARD_GROUP_DEFENSE_DESC,使所有我方角色获得80%意志护盾
CARD_HEALING_LIGHT_NAME,治疗之光
CARD_HEALING_LIGHT_DESC,回复单个我方角色70%意志生命
CARD_DRAW_TACTICS_NAME,抽牌战术
CARD_DRAW_TACTICS_DESC,抽2张牌
CARD_ENERGY_SUPPLY_NAME,能量补充
CARD_ENERGY_SUPPLY_DESC,6时间后获得2点能量
CARD_IRON_WAVE_NAME,铁斩波
CARD_IRON_WAVE_DESC,造成100%力量伤害并根据实际生命伤害获得护盾
UI_CURRENT_TIME,当前时间
UI_ENERGY,能量
UI_DRAW_PILE,抽牌堆
UI_DISCARD_PILE,弃牌堆
UI_ALLIES,我方队伍
UI_ENEMIES,敌方队伍
UI_HP,生命
UI_SHIELD,护盾
UI_ACTION_TIME,行动时间
UI_COST,费用
UI_CHARGE,蓄力
UI_OVERLOAD,过载
UI_SHIELD_SHORT,盾
UI_TIME_SHORT,时间
UI_CURRENT_ACTOR,当前行动
UI_BASIC_ATTACK,普通攻击
UI_CHOOSE_ACTION,请选择普通攻击或一张手牌
UI_SELECTED_ACTION,已选择行动
UI_ACTION_REQUEST_READY,行动请求已生成（暂未执行）
UI_CANCEL,取消
UI_SELECT,选择
UI_SELECTED,已选择
UI_SELECT_TARGET,选择目标
UI_CHOOSE_ACTOR,请选择行动角色
UI_CHOOSE_ACTOR_HINT,同一时间有多名角色可以行动，请先选择一名角色
UI_SELECT_ACTOR,选择行动角色
